passes,init_partial0F,init_relgap,final_relgap,nnz_solution,randomize,strategy,times,dataset,warm_start,reg_grid,lambdamax,start_kind,ordering
82,1.4210854715202004e-13,0.06323958305533955,9.384254930949307e-9,41,false,exact,1.5432181358337402,w1a,true,0.18765448504002957,16.06419055308849,warm,cyclic
82,4.192202140984591e-13,0.06691331473033027,9.939287754656377e-9,58,false,exact,1.3584558963775635,w1a,true,0.14198815201729703,16.06419055308849,warm,cyclic
68,1.4921397450962104e-13,0.06790127304808698,9.85068856249016e-9,71,false,exact,1.2220427989959717,w1a,true,0.10743487057602952,16.06419055308849,warm,cyclic
90,3.801403636316536e-13,0.065856145457699,9.871373561125714e-9,88,false,exact,1.719614028930664,w1a,true,0.08129024324707132,16.06419055308849,warm,cyclic
105,3.0375701953744283e-13,0.06370377776806102,9.689233911360714e-9,109,false,exact,1.9951679706573486,w1a,true,0.06150799653536698,16.06419055308849,warm,cyclic
113,1.0658141036401503e-13,0.06123402595012885,9.90358786421555e-9,110,false,exact,2.171334981918335,w1a,true,0.04653982429719224,16.06419055308849,warm,cyclic
115,9.879386198008433e-11,0.060565691547651124,8.892393557178512e-9,112,false,exact,2.41121506690979,w1a,true,0.03521420575563868,16.06419055308849,warm,cyclic
111,3.375077994860476e-14,0.06095079934159271,9.319072773472108e-9,111,false,exact,2.178809881210327,w1a,true,0.026644713548591308,16.06419055308849,warm,cyclic
119,6.394884621840902e-14,0.06219824983850329,9.780275508814831e-9,120,false,exact,2.250580072402954,w1a,true,0.02016063531328705,16.06419055308849,warm,cyclic
138,4.618527782440651e-14,0.06317305833277519,8.541013084325946e-9,144,false,exact,2.9820590019226074,w1a,true,0.015254478735307905,16.06419055308849,warm,cyclic
160,2.389199948993337e-13,0.06340938500201974,9.616693343695966e-9,156,false,exact,3.3559751510620117,w1a,true,0.011542251415688211,16.06419055308849,warm,cyclic
252,3.7481129311345285e-13,0.06406128976555338,9.57282185025317e-9,171,false,exact,5.194440841674805,w1a,true,0.008733406762343065,16.06419055308849,warm,cyclic
300,3.019806626980426e-14,0.06478768730147753,3.1460311864102284e-8,174,false,exact,6.554364919662476,w1a,true,0.006608103647168024,16.06419055308849,warm,cyclic
300,1.687538997430238e-14,0.0657044163085275,2.0314113705555385e-6,176,false,exact,6.356987953186035,w1a,true,0.005000000000000002,16.06419055308849,warm,cyclic
2,1166.5,0.8103067618827862,-1.0471963586771903e-15,0,true,exact,0.01085805892944336,w1a,false,1.0,16.06419055308849,cold,permuted
9,1166.5,0.8276765503011937,1.1176743989021242e-9,6,true,exact,0.2736928462982178,w1a,false,0.756646727558943,16.06419055308849,cold,permuted
39,1166.5,0.8526017531644534,6.326391360225071e-9,16,true,exact,0.6221950054168701,w1a,false,0.5725142703256574,16.06419055308849,cold,permuted
58,1166.5,0.8767758487791965,6.7019014560783236e-9,17,true,exact,0.9871840476989746,w1a,false,0.43319104912270473,16.06419055308849,cold,permuted
85,1166.5,0.8983803897694991,5.018146297004947e-9,25,true,exact,1.3468608856201172,w1a,false,0.32777258972651985,16.06419055308849,cold,permuted
116,1166.5,0.91698239760121,8.590811113959268e-9,31,true,exact,2.1127898693084717,w1a,false,0.2480080574000913,16.06419055308849,cold,permuted
102,1166.5,0.9326554335424097,4.307189695127124e-9,46,true,exact,1.767153024673462,w1a,false,0.18765448504002957,16.06419055308849,cold,permuted
84,1166.5,0.9456720556306124,7.728170716620447e-9,69,true,exact,1.4502358436584473,w1a,false,0.14198815201729703,16.06419055308849,cold,permuted
110,1166.5,0.9563711726185408,8.879797946649409e-9,81,true,exact,2.1241588592529297,w1a,false,0.10743487057602952,16.06419055308849,cold,permuted
125,1166.5,0.9650964005679238,8.897872628952487e-9,94,true,exact,2.24298095703125,w1a,false,0.08129024324707132,16.06419055308849,cold,permuted
